Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
Label,
TIME,CH1
-9.064e-02,-1.04
-9.062e-02,-1.12
-9.060e-02,-1.04
-9.058e-02,-1.12
-9.056e-02,-1.2
-9.054e-02,-1.28
-9.052e-02,-1.28
-9.050e-02,-1.28
-9.048e-02,-1.2
-9.046e-02,-1.36
-9.044e-02,-1.36
-9.042e-02,-1.52
-9.040e-02,-1.68
-9.038e-02,-1.52
-9.036e-02,-1.52
-9.034e-02,-1.52
-9.032e-02,-1.44
-9.030e-02,-1.44
-9.028e-02,-1.68
-9.026e-02,-1.76
-9.024e-02,-1.68
-9.022e-02,-1.76
-9.020e-02,-1.76
-9.018e-02,-1.84
-9.016e-02,-1.76
-9.014e-02,-1.92
-9.012e-02,-1.92
-9.010e-02,-2.08
-9.008e-02,-1.76
-9.006e-02,-1.92
-9.004e-02,-1.92
-9.002e-02,-1.92
-9.000e-02,-1.92
-8.998e-02,-1.76
-8.996e-02,-2
-8.994e-02,-2.16
-8.992e-02,-2.32
-8.990e-02,-2.56
-8.988e-02,-2.24
-8.986e-02,-2.32
-8.984e-02,-2.32
-8.982e-02,-2.16
-8.980e-02,-2.4
-8.978e-02,-2.16
-8.976e-02,-2.4
-8.974e-02,-2.16
-8.972e-02,-2.4
-8.970e-02,-2.32
-8.968e-02,-2.48
-8.966e-02,-2.56
-8.964e-02,-2.56
-8.962e-02,-2.64
-8.960e-02,-2.8
-8.958e-02,-2.56
-8.956e-02,-2.64
-8.954e-02,-2.48
-8.952e-02,-2.64
-8.950e-02,-2.72
-8.948e-02,-2.72
-8.946e-02,-2.72
-8.944e-02,-2.88
-8.942e-02,-2.8
-8.940e-02,-2.72
-8.938e-02,-2.88
-8.936e-02,-2.96
-8.934e-02,-3.04
-8.932e-02,-2.96
-8.930e-02,-3.04
-8.928e-02,-2.96
-8.926e-02,-3.12
-8.924e-02,-3.12
-8.922e-02,-3.04
-8.920e-02,-3.2
-8.918e-02,-3.2
-8.916e-02,-3.28
-8.914e-02,-3.28
-8.912e-02,-3.28
-8.910e-02,-3.36
-8.908e-02,-3.2
